id,category,mathematicalSupported,mathematicalValid,beforePassed,afterPassed,beforeScore,afterScore,beforeIssues,afterIssues,repairs,error
"algebra-factorization","álgebra","true","true","true","true","95","95","23","18","move-anchor:hook|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|reduce-caption:discriminant-setup|move-anchor:discriminant-setup",""
"algebra-linear","álgebra","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"calculus-derivative","cálculo","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"calculus-integral","cálculo","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"calculus-limit","cálculo","false","false","false","false","88","88","6","6","reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"equation-quadratic","ecuaciones","true","true","true","true","95","95","23","18","move-anchor:hook|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|move-anchor:coefficients|reduce-caption:discriminant-setup|move-anchor:discriminant-setup",""
"equation-rational","ecuaciones","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"function-linear","funciones","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"function-quadratic","funciones","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"geometry-circle","geometría","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"geometry-triangle","geometría","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"matrix-determinant","matrices","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"matrix-product","matrices","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"statistics-mean","estadística","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"statistics-probability","estadística","false","false","false","false","88","88","6","6","reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"system-three","sistemas","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"system-two","sistemas","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"trig-pythagorean","trigonometría","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"trig-sine","trigonometría","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"word-mixture","problemas verbales","false","false","false","false","88","88","6","6","reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
"word-rate","problemas verbales","false","false","false","false","88","88","7","7","reduce-caption:intro|reduce-caption:step-1|reduce-caption:step-2|reduce-caption:step-3|reduce-caption:conclusion",""
